"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.016916690E-3,-3.187404960E-1,1.885405451E-1,5.466032740E-1,6.602410016E-1
1.807091665E-2,-1.182307005E-2,-1.259589654E-1,2.705416051E-1,2.986606871E-1
2.812491660E-2,2.996879286E-1,-2.129035538E-1,-2.595263278E-1,4.499941029E-1
3.817891655E-2,5.282421398E-1,-2.886489701E-1,-7.049771565E-1,9.270117461E-1
4.823191673E-2,4.659271932E-1,-4.225665808E-1,-1.697915651E0,1.810681701E0
5.828591669E-2,5.464141166E-1,-6.692553467E-1,-2.343067020E0,2.497285360E0
6.833991664E-2,2.042631233E-1,-1.327493370E0,-2.661433002E0,2.981138657E0
7.839391660E-2,2.584516096E-1,-1.656606826E0,-2.558441900E0,3.058883516E0
8.844791655E-2,5.934684151E-1,-1.291875640E0,-2.563051552E0,2.930935122E0
9.850191674E-2,4.482797116E-1,-8.696207160E-1,-2.583678482E0,2.762714135E0
1.085559167E-1,4.717065811E-1,-3.596008390E-1,-2.633758423E0,2.699722818E0
1.186099167E-1,8.370400304E-1,-2.139285707E-1,-2.852657419E0,2.980613326E0
1.286639166E-1,9.878332901E-1,-1.759573370E-1,-2.731866223E0,2.910303876E0
1.387169166E-1,7.352622253E-1,-3.883194387E-2,-2.436950207E0,2.545750336E0
1.487709167E-1,6.093956459E-1,-2.132023466E-1,-2.178109465E0,2.271778848E0
1.588249167E-1,7.210499829E-1,-2.859610051E-1,-2.103317145E0,2.241791647E0
1.688789167E-1,1.011159003E0,1.674168938E-1,-1.833344474E0,2.100386371E0
1.789329166E-1,7.372397536E-1,3.757724833E-1,-1.456916226E0,1.675509565E0
1.889869166E-1,2.359135169E-1,-2.234454989E-2,-1.186761706E0,1.210189164E0
1.990409165E-1,-1.246281391E-1,-2.122311240E-1,-9.370486142E-1,9.688314241E-1
2.090949167E-1,1.871436453E-1,-2.286559528E-1,-7.648728177E-1,8.199614113E-1
2.191489167E-1,7.724967098E-1,-1.958413786E-1,-5.427132677E-1,9.641798085E-1
