"property","value"
"version","1.2.0"
"build","1020009"
"fileFormat","1.19"
"deviceModel","23049RAD8C"
"deviceBrand","Redmi"
"deviceBoard","marble"
"deviceManufacturer","Xiaomi"
"deviceBaseOS","Redmi/marble/marble:14/UKQ1.230804.001/V816.0.17.0.UMRCNXM:user/release-keys"
"deviceCodename","REL"
"deviceRelease","14"
"depthFrontSensor","0"
"depthFrontResolution","null"
"depthFrontRate","null"
"depthBackSensor","0"
"depthBackResolution","null"
"depthBackRate","null"
"accelerometer Name","bmi26x Accelerometer Non-wakeup"
"accelerometer Vendor","BOSCH"
"accelerometer Range","156.9064"
"accelerometer Resolution","0.0047856453"
"accelerometer MinDelay","2500"
"accelerometer MaxDelay","1000000"
"accelerometer Power","0.18"
"accelerometer Version","65813"
"linear_acceleration Name","linear_acceleration"
"linear_acceleration Vendor","QTI"
"linear_acceleration Range","156.91"
"linear_acceleration Resolution","0.01"
"linear_acceleration MinDelay","5000"
"linear_acceleration MaxDelay","200000"
"linear_acceleration Power","0.515"
"linear_acceleration Version","1"
"gravity Name","gravity  Non-wakeup"
"gravity Vendor","QTI"
"gravity Range","156.91"
"gravity Resolution","0.01"
"gravity MinDelay","5000"
"gravity MaxDelay","200000"
"gravity Power","0.515"
"gravity Version","1"
"gyroscope Name","bmi26x Gyroscope Non-wakeup"
"gyroscope Vendor","BOSCH"
"gyroscope Range","34.90656"
"gyroscope Resolution","0.0010652636"
"gyroscope MinDelay","2500"
"gyroscope MaxDelay","1000000"
"gyroscope Power","0.9"
"gyroscope Version","65813"
"magnetic_field Name","qmc630x Magnetometer Non-wakeup"
"magnetic_field Vendor","QST"
"magnetic_field Range","3000.0"
"magnetic_field Resolution","0.1"
"magnetic_field MinDelay","10000"
"magnetic_field MaxDelay","1000000"
"magnetic_field Power","1.5"
"magnetic_field Version","131329"
"pressure Name","null"
"pressure Vendor","null"
"pressure Range","null"
"pressure Resolution","null"
"pressure MinDelay","null"
"pressure MaxDelay","null"
"pressure Power","null"
"pressure Version","null"
"light Name","tcs3701 Ambient Light Sensor Non-wakeup"
"light Vendor","ams AG"
"light Range","1.0"
"light Resolution","0.01"
"light MinDelay","0"
"light MaxDelay","0"
"light Power","0.09"
"light Version","256"
"proximity Name","proximity Proximity Sensor Wakeup"
"proximity Vendor","XiaoMi(V1.1)"
"proximity Range","5.0"
"proximity Resolution","0.01"
"proximity MinDelay","0"
"proximity MaxDelay","0"
"proximity Power","0.001"
"proximity Version","1"
"temperature Name","null"
"temperature Vendor","null"
"temperature Range","null"
"temperature Resolution","null"
"temperature MinDelay","null"
"temperature MaxDelay","null"
"temperature Power","null"
"temperature Version","null"
"humidity Name","null"
"humidity Vendor","null"
"humidity Range","null"
"humidity Resolution","null"
"humidity MinDelay","null"
"humidity MaxDelay","null"
"humidity Power","null"
"humidity Version","null"
"attitude Name","rotation vector  Non-wakeup"
"attitude Vendor","xiaomi"
"attitude Range","1.0"
"attitude Resolution","0.01"
"attitude MinDelay","5000"
"attitude MaxDelay","210000"
"attitude Power","0.001"
"attitude Version","1"
"custom Name","bmi26x Accelerometer Non-wakeup"
"custom Vendor","BOSCH"
"custom Range","156.9064"
"custom Resolution","0.0047856453"
"custom MinDelay","2500"
"custom MaxDelay","1000000"
"custom Power","0.18"
"custom Version","65813"
