Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.042877065,0.0,0.0,0.0,0.0
0.047795347,-0.01384449005,-0.01253223419,-0.02122173831,0.02826816187
0.052713628,-0.03087639809,-0.009099960327,-0.007391374558,0.0330271654
0.057631909,-0.0582742691,-0.004067420959,0.00909980759,0.059120562
0.06255019,-0.064930439,0.007350921631,0.007407072932,0.06576368821
0.067468472,-0.06919550896,0.0131855011,0.02211344987,0.07383007899
0.072386753,-0.1281437874,0.03499317169,0.006520725787,0.13299576
0.077305034,-0.1613457203,0.02969932556,-0.01967610419,0.1652320806
0.082223315,-0.1253614426,0.02971363068,-0.05189312249,0.1388930786
0.087141597,-0.0686674118,0.01287078857,-0.03854573146,0.079791253
0.092059878,-0.1048147678,-0.002293586731,-0.05743654817,0.1195422652
0.096978107,-0.09052729607,0.001350402832,-0.03144798428,0.09584357379
0.101896388,-0.1043787003,-0.01734161377,-0.07856632769,0.1317888936
0.10681467,-0.08222460747,-0.04811859131,-0.09619989246,0.1353909311
0.111732951,-0.1110055447,-0.06811618805,-0.06863871217,0.147218609
0.116651232,-0.1786620617,-0.06914710999,-0.07469005883,0.2056211565
0.121569513,-0.139112711,-0.09734535217,-0.04476737604,0.1755920895
0.126487795,-0.1607615948,-0.0971031189,-0.03937830776,0.1918956935
0.131406076,-0.1360285282,-0.1061372757,-0.02981975302,0.1750945443
0.136324357,-0.1399326324,-0.1103878021,-0.04801763222,0.18458684
0.141242638,-0.1301019192,-0.1100883484,-0.0700558275,0.1842654954
0.14616092,-0.1391277313,-0.1282863617,-0.07295443118,0.2028207712
0.151079201,-0.1478259563,-0.1458940506,-0.1032110974,0.231926967
0.155997482,-0.09667134285,-0.1721878052,-0.1047628671,0.2235380216
0.160915763,-0.1303534508,-0.1839065552,-0.0786864385,0.2387576151
0.165834045,-0.1307153702,-0.1908626556,-0.07655355334,0.2436709007
0.170752326,-0.1680846214,-0.2024364471,-0.06985002756,0.2722351584
0.175670607,-0.1904382706,-0.1676836014,-0.0772292912,0.2652336489
0.180588888,-0.1892547607,-0.1251268387,-0.03828268871,0.2300861892
0.18550717,-0.2670207024,-0.111907959,-0.02855533734,0.2909275753
0.190425451,-0.2638568878,-0.0621843338,-0.06102507561,0.277869409
0.195343732,-0.3120889664,-0.07901859283,0.004807482474,0.321972938
0.200262013,-0.3313081264,-0.08613491058,-0.0196701549,0.3428865883
0.205180295,-0.3363258839,-0.06058883667,-0.06674300134,0.3481964037
0.210098576,-0.3368940353,-0.08700275421,-0.09864784777,0.3616607086
0.215016857,-0.3236973286,-0.06618595123,-0.1205494925,0.3516997595
0.219935138,-0.3437149525,-0.08790969849,-0.1559422761,0.3875384847
0.22485342,-0.3307609558,-0.06714916229,-0.1159919202,0.3568836581
0.229771701,-0.3555781841,-0.0795955658,-0.1192170531,0.3833849304
0.234689982,-0.3333218098,-0.05910110474,-0.09463773668,0.3515005984
0.239608263,-0.2884590626,-0.04381275177,-0.05216648057,0.2963942133
0.244526545,-0.2728266716,-0.01487827301,-0.01559976209,0.2736770146
0.249444826,-0.3138375282,-0.000657081604,-0.0547808446,0.318583375
0.254363107,-0.2885193825,-0.02417850494,-0.05576663092,0.2948524229
0.259281388,-0.3059382439,-0.06588745117,-0.0567314662,0.3180531788
0.26419967,-0.2622375488,-0.08798694611,-0.08572405577,0.289583923
0.269117951,-0.2335371971,-0.1236877441,-0.08117941022,0.2764568269
0.27403618,-0.1867871284,-0.1774530411,-0.09061749279,0.2731126931
0.278954461,-0.2067387104,-0.1973648071,-0.07172779739,0.2946839636
0.283872742,-0.1935868263,-0.2075910568,-0.07182916254,0.2927957219
0.038889639,0.0,0.0,0.0,0.0
0.043807764,-0.06573879719,0.05019950867,0.1797187328,0.1978393365
0.048725837,-0.08611953259,0.09066963196,0.3471212387,0.3689589549
0.053643962,-0.08992993832,0.1642856598,0.4400156736,0.4782164414
