Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.01983193,0.0,0.0,0.0,0.0
0.024834013,-0.1091139317,-0.08122634888,0.002460449934,0.1360500777
0.029836045,-0.1802203655,-0.1623773575,0.1022079587,0.2632342174
0.034838128,-0.2630739808,-0.2721948624,0.2234117985,0.4395574981
0.039840159,-0.3157376051,-0.3283290863,0.2865817547,0.538162918
0.044842243,-0.3761748075,-0.33289814,0.3517453671,0.6132319795
0.049844274,-0.359926939,-0.3463411331,0.3113348484,0.5885821691
0.054846357,-0.3858160973,-0.3360385895,0.2033539414,0.5505713578
0.059848388,-0.3461571932,-0.2897233963,0.2173659801,0.5010113952
0.064850472,-0.3354505301,-0.2560434341,0.2334353924,0.4822627714
0.069852503,-0.3411117792,-0.1802282333,0.3251654506,0.5045513178
0.074854534,-0.3434896469,-0.1518592834,0.4566612244,0.5912578569
0.079856566,-0.2848821878,-0.1135959625,0.6218311191,0.6933511695
0.084846305,-0.3107821941,-0.150018692,0.8728225231,0.9385682378
0.089847086,-0.272256732,-0.1134805679,0.9909196496,1.033887479
0.094836513,-0.1550701857,-0.1292905807,0.9578479528,0.9788950493
0.099836149,-0.1028590202,-0.140294075,0.7367158532,0.756975993
0.104835784,-0.08498585224,-0.128616333,0.6482584476,0.6663360797
0.109819847,-0.09490680695,-0.108921051,0.4945104122,0.515181177
0.114818441,-0.09495532513,-0.05870342255,0.3688634634,0.3853866373
0.119817034,-0.1266187429,-0.02020549774,0.2418359518,0.2737246715
0.124815628,-0.1155469418,-0.01100826263,0.2086898088,0.2387963859
0.129857503,-0.1185003519,-0.0984954834,0.3110807538,0.3471526019
0.134858284,-0.1399848461,-0.191740036,0.4101035595,0.4738617183
0.139859066,-0.2205420732,-0.2448692322,0.6486549377,0.7275664748
0.144860368,-0.2384508848,-0.2825965881,0.8192496896,0.8988268521
0.149861149,-0.2929743528,-0.2041273117,0.9844880104,1.047243321
0.154864586,-0.2629824877,-0.1241388321,1.089659214,1.127797606
0.159865628,-0.1651072502,-0.08868408203,1.248040795,1.262034507
0.16486667,0.06794047356,-0.1239099503,1.198945642,1.207244894
0.169867711,0.4041651487,-0.1209154129,1.194795251,1.267085513
0.174856566,0.6224155426,-0.0714635849,1.280536175,1.425580951
0.179856982,0.8890329599,-0.03252792358,1.35138607,1.617925209
0.184872138,1.091398001,0.04741382599,1.491322398,1.84863197
0.189874066,1.254844666,0.1021823883,1.609636545,2.043527877
